Image-Name,Human-Valence3,Human-Arousal3,Zero-Shot-Average-Valence-For-Image,Zero-Shot-Average-Arousal-For-Image,Zero-Shot-Average-Valence-For-Text,Zero-Shot-Average-Arousal-For-Text,Few-Shot-Average-Valence-For-Image,Few-Shot-Average-Arousal-For-Image,Few-Shot-Average-Valence-For-Text,Few-Shot-Average-Arousal-For-Text
N046,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N047,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N061,Neutral,Calm,Neutral,Calm,Positive,Calm,Neutral,Calm,Neutral,Calm
N062,Neutral,Neutral,Neutral,Calm,Positive,Neutral,Neutral,Calm,Neutral,Neutral
N064,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N065,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N066,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N067,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N068,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N069,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N070,Neutral,Calm,Neutral,Calm,Positive,Calm,Neutral,Calm,Neutral,Calm
N071,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N072,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N073,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N075,Neutral,Neutral,Negative,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N076,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N077,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N078,Neutral,Neutral,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
N079,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N080,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N081,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N082,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N083,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N085,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N086,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N087,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
N088,Neutral,Neutral,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
N089,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N090,Neutral,Neutral,Positive,Calm,Positive,Neutral,Neutral,Calm,Positive,Neutral
N091,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N092,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N093,Neutral,Neutral,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
N094,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N095,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N096,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N097,Neutral,Calm,Positive,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
N098,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N099,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N100,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N101,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N102,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N104,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
N105,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N106,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N107,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
N108,Neutral,Calm,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
N109,Neutral,Calm,Neutral,Calm,Negative,Calm,Neutral,Calm,Negative,Neutral
N111,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
P001,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P003,Positive,Neutral,Positive,Calm,Positive,Stimulated,Positive,Calm,Positive,Neutral
P004,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P005,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P006,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P007,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P008,Positive,Calm,Positive,Calm,Positive,Stimulated,Positive,Calm,Positive,Neutral
P009,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P010,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P011,Positive,Neutral,Positive,Stimulated,Positive,Stimulated,Positive,Neutral,Positive,Neutral
P012,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P013,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P014,Positive,Calm,Positive,Calm,Positive,Neutral,Positive,Calm,Positive,Neutral
P015,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P016,Positive,Calm,Positive,Calm,Positive,Calm,Neutral,Calm,Positive,Neutral
P017,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P018,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P020,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P021,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P022,Positive,Neutral,Positive,Calm,Positive,Stimulated,Positive,Calm,Positive,Neutral
P023,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P024,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P025,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P026,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P027,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P028,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P029,Positive,Neutral,Positive,Calm,Positive,Neutral,Positive,Calm,Positive,Neutral
P030,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P031,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P033,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P034,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P035,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral,Positive,Neutral
P036,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P037,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P038,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P039,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P040,Positive,Neutral,Neutral,Calm,Positive,Calm,Neutral,Calm,Positive,Neutral
P041,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P042,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P043,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P044,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P045,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Stimulated
P046,Positive,Calm,Positive,Calm,Neutral,Calm,Positive,Calm,Neutral,Calm
P047,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P048,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P049,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P050,Positive,Stimulated,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P052,Positive,Calm,Positive,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
P053,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P054,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P055,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P056,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P057,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P058,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P060,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P061,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P062,Positive,Calm,Positive,Calm,Positive,Neutral,Positive,Calm,Positive,Calm
P063,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P064,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P065,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P066,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P067,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P069,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P070,Positive,Neutral,Positive,Calm,Positive,Stimulated,Positive,Calm,Positive,Stimulated
P071,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P072,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P073,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P074,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P075,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P076,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P077,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P078,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P079,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P080,Positive,Calm,Positive,Calm,Positive,Neutral,Positive,Calm,Positive,Neutral
P081,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P082,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P083,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P084,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P085,Positive,Calm,Positive,Calm,Neutral,Calm,Positive,Calm,Positive,Calm
P086,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P087,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P088,Positive,Neutral,Positive,Calm,Positive,Stimulated,Positive,Calm,Positive,Neutral
P089,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P090,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral,Positive,Calm
P091,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P092,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P093,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P094,Positive,Neutral,Positive,Calm,Positive,Calm,Neutral,Calm,Positive,Calm
P095,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P096,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P097,Positive,Stimulated,Positive,Stimulated,Positive,Stimulated,Positive,Stimulated,Positive,Stimulated
P098,Positive,Calm,Positive,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
P099,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P100,Positive,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
P101,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P102,Positive,Neutral,Positive,Calm,Positive,Neutral,Positive,Calm,Positive,Calm
P103,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P104,Positive,Calm,Positive,Calm,Positive,Neutral,Positive,Calm,Positive,Calm
P105,Positive,Stimulated,Positive,Stimulated,Positive,Stimulated,Positive,Stimulated,Positive,Stimulated
P106,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P107,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P108,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P109,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P110,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P111,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P112,Positive,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
P113,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P114,Positive,Neutral,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P116,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P117,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P118,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P119,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P121,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P122,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P123,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P124,Positive,Stimulated,Positive,Stimulated,Neutral,Stimulated,Positive,Stimulated,Positive,Stimulated
P125,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Neutral
P127,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P128,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm,Positive,Calm
P129,Positive,Neutral,Positive,Stimulated,Positive,Neutral,Positive,Calm,Positive,Neutral
P130,Positive,Calm,Positive,Calm,Positive,Neutral,Positive,Calm,Positive,Neutral
Sn001,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Calm
Sn002,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Negative,Stimulated
Sn003,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral
Sn004,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sn005,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral
Sn006,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Stimulated,Neutral,Neutral
Sn007,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral
Sn008,Neutral,Neutral,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sn009,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sn010,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated
Sn011,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated
Sn012,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Neutral,Neutral,Stimulated
Sn013,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Stimulated
Sn014,Neutral,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn015,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn016,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated
Sn017,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
Sn018,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated
Sn019,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Neutral,Neutral,Stimulated
Sn020,Neutral,Neutral,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sn021,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Stimulated
Sn022,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn023,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sn024,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sn025,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sn026,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn027,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Neutral,Stimulated,Neutral,Stimulated
Sn028,Neutral,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn029,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral
Sn030,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Calm
Sn031,Neutral,Neutral,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn032,Neutral,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated,Negative,Stimulated
Sn033,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn034,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated
Sn035,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Neutral,Stimulated
Sn036,Neutral,Neutral,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sn037,Neutral,Neutral,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Neutral
Sn038,Neutral,Neutral,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated
Sn039,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Stimulated
Sn040,Neutral,Neutral,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn041,Neutral,Neutral,Neutral,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated
Sn042,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated
Sn043,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Neutral
Sn044,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated
Sn045,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Neutral,Stimulated
Sn046,Negative,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn047,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sn048,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sn049,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn050,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Negative,Stimulated
Sn051,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn052,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated
Sn053,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Negative,Stimulated
Sn054,Neutral,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Calm,Negative,Stimulated
Sn055,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
Sn056,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
Sn057,Neutral,Stimulated,Neutral,Stimulated,Positive,Calm,Neutral,Calm,Positive,Neutral
Sn058,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sn059,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sn060,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Negative,Stimulated
Sn061,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
Sn062,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn063,Negative,Stimulated,Neutral,Calm,Positive,Calm,Neutral,Calm,Neutral,Calm
Sn064,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn065,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral
Sn066,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Negative,Stimulated
Sn067,Neutral,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral,Negative,Stimulated
Sn068,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral
Sn069,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Stimulated
Sn070,Neutral,Stimulated,Negative,Stimulated,Neutral,Neutral,Neutral,Neutral,Neutral,Stimulated
Sn071,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Stimulated
Sn072,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn073,Neutral,Neutral,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Neutral
Sn074,Neutral,Neutral,Neutral,Stimulated,Neutral,Stimulated,Neutral,Neutral,Neutral,Stimulated
Sn075,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn076,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral,Negative,Stimulated
Sn077,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn078,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Stimulated
Sn079,Negative,Stimulated,Neutral,Stimulated,Positive,Neutral,Neutral,Neutral,Positive,Neutral
Sn080,Neutral,Neutral,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn081,Negative,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sn082,Neutral,Neutral,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated
Sn083,Neutral,Neutral,Neutral,Calm,Negative,Stimulated,Neutral,Neutral,Neutral,Stimulated
Sn084,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn085,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Sn086,Neutral,Neutral,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Stimulated
Sn087,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Neutral
Sn088,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn089,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn090,Neutral,Neutral,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Negative,Stimulated
Sn091,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn092,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn093,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn094,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Neutral,Stimulated,Neutral,Neutral
Sn095,Neutral,Neutral,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated
Sn096,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn097,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral
Sn098,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sn099,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn100,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Calm,Neutral,Neutral
Sn101,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sn102,Neutral,Stimulated,Neutral,Stimulated,Negative,Stimulated,Negative,Neutral,Neutral,Neutral
Sn103,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sn104,Neutral,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated
Sn105,Neutral,Neutral,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
Sn106,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sn107,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn108,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sn109,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
Sn110,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated
Sn111,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Neutral,Neutral,Neutral
