Image Name,Valence,Arousal,ChatGPT Description,Likert_Valence,Likert_Arousal
H047,44.436,38.656,This image appears to capture a candid moment in what looks like a bustling alleyway or a communal area within a densely populated setting. Various activities are taking place: In the foreground on the left side a man is holding a young child while interacting with another child wearing a green shirt-In the middle of the image a child is bending over a small seat possibly playing or picking something up. Other individuals including children and adults are scattered throughout the setting engaging in various activities such as carrying buckets and walking through the alley. The environment suggests a residential area with close-set buildings and household items and electronics visible indicating daily living activities. The scene reflects a lively community-centered day-to-day life with multiple generations interacting and going about their routines.,Neutral,Neutral
H048,15.751,68.614,The image shows a densely populated urban area with numerous closely packed buildings. Most of the structures have similar heights and are constructed with basic materials. Many of the roofs are covered with corrugated metal sheets some of which are rusted and a few are patched with blue tarps. This area is likely a slum or informal settlement typically characterized by its high density makeshift construction and underdeveloped infrastructure. In the background beyond the settlement taller buildings and modern structures are visible suggesting a stark economic and architectural contrast within the city.,Negative,Stimulated
H049,31.626,52.99,This image shows a scene in an impoverished area. There are several individuals present including an adult wearing a white shirt and a head scarf standing next to two young children who are nude and appear to be twins. Another child is visible in the background actively moving around. The environment includes makeshift structures with walls made of various materials suggesting a makeshift or informal settlement. There is debris scattered around including what appears to be ash or burnt remnants and a metal bucket. The setting suggests a community living under challenging conditions.,Negative,Stimulated
H050,44.816,38.341,The image shows a vibrant scene of daily life in a narrow alley possibly in a densely populated urban area. It captures several children engaged in various activities. One child appears to be carrying a smaller child on her back. Another child is running towards the camera smiling while others in the background are walking or standing. The setting is characterized by colorful walls some clothes hanging out to dry and several buckets and basins suggesting routine domestic tasks such as washing. The environment indicates a community living space where children are playing and going about their day.,Neutral,Neutral
H051,26.97,53.416,The image displays a scene from a low-income urban area. There are three people: a woman and two children who appear to be standing by a building made of rough materials possibly wood and mud. The environment is quite muddy and scattered with various objects and debris. Hanging clothes and containers can also be seen suggesting daily living activities. Behind there are signs that might indicate shops or informal market stalls. The scene conveys a glimpse of life in a challenging urban setting possibly in a developing country.,Negative,Stimulated
H052,47.577,36.817,This image depicts a street scene where a woman and a young girl are sitting near a pile of potatoes laid out on a cloth. The woman dressed in a traditional sari sits beside a variety of vegetables including onions which are placed in bowls and sacks. The young girl is holding a stick and seated on a small red stool. Behind them a Yamaha motorcycle is parked next to wooden structures that might be part of a market or residential area. The setting appears to be in a bustling outdoor market environment possibly in a South Asian country.,Neutral,Neutral
H053,29.308,62.445,The image shows a young child carrying a load of firewood on his back secured with a makeshift harness. He is wearing a red jacket over a teal shirt and a knit cap on his head. His expression appears thoughtful or focused. In the background there's a stone structure and possibly a wooden ladder or beam suggesting a rural or mountainous environment. The terrain visible in the image consists of barren rocky ground which might indicate a cold arid region.,Negative,Stimulated
H054,43.978,40.317,This image shows three people: a man a woman and a small child who appears to be a girl. They are standing together against a backdrop of a dark possibly metallic wall. The man is in the center shirtless with a sleeveless top and he is wearing shorts. His body and clothes are covered in what looks to be dust or dirt suggesting he might be involved in some type of physical labor. The woman to his right wears traditional attire possibly a saree with a head scarf and also appears to be dust-covered. The small child to the left is holding a long thin object and is similarly dressed in a simple possibly dusty garment. Their attire and surroundings hint at a rugged industrial or rural setting. The expressions on their faces are serious and they seem to be posing for the photograph.,Neutral,Neutral
H055,34.008,60.451,This image depicts a group of workers likely involved in manual labor at a railway or industrial site. They are engaged in shoveling or moving materials possibly dirt or ore in front of a large freight train that is stationary. The workers appear to be predominantly men dressed in simple lightweight clothing suitable for heavy physical work under warm conditions. The setting suggests a focus on hard labor teamwork and industrial activity.,Negative,Stimulated
H056,2.615,68.525,The image shows two individuals a woman and a young boy standing on a dirt path in what appears to be a rural or semi-rural setting. They are surrounded by various objects scattered around the area which include a large number of used tires piled up pieces of broken concrete or stones and many spent shell casings or cartridges grouped together on the ground. The setting suggests a place that might be undergoing some hardship or neglect evident from the debris and the worn-out nature of their surroundings. The overall scene could imply an area affected by conflict given the presence of so many spent shell casings although it is also possible this site is used for recreational shooting or a similar activity.,Negative,Stimulated
H057,59.742,49.628,The image captures a heartwarming scene of two children near a modified bicycle possibly used for transport or as a small vendor cart. On the right a young girl is seated smiling warmly at the camera. She is clad in a simple necklace and a light-colored skirt with a patterned cloth in her hands. To her left partially visible is another young child standing beside the cart visible only from the waist down. The cart itself seems equipped with padded seats and storage compartments hinting at its use for either transporting goods or passengers. The background includes a cooler and a blue holder commonly used for storage or to maintain items at a certain temperature. Overall the image presents a slice of daily life likely captured in a warm vibrant community setting.,Neutral,Stimulated
H058,40.24,50.719,This image shows a group of people likely gathered at a communal or social event. There are several children and adults visible. In the foreground a young girl looks to her side while another child next to her is interacting with a smaller boy who is holding an object possibly a toy or a small book. The adults and other people in the background are looking towards something outside the frame suggesting they are attentive to an event or a speaker. The expressions and engagement of the people suggest a moment of informal community gathering and interaction.,Neutral,Stimulated
H059,29.62,36.969,This image features a young girl standing near a large concrete container. She is wearing a sleeveless blue top with cartoon characters on it and seems to be holding onto something small in her right hand which she holds up to her face. The container behind her appears aged and has a piece of fabric or tarp draped over it perhaps covering something inside. The environment indicates it might be a tropical setting inferred from the vegetation visible in the background. There's a calming sunny day ambiance in the picture.,Negative,Neutral
H060,53.846,38.963,This image shows a group of children and adults seated inside a wood-paneled structure possibly a house or community building. The children some shirtless look curiously towards the camera or around their surroundings. The environment appears to be in a rural or traditional setting likely part of a communal gathering or event. The wooden benches and walls suggest a rustic and possibly indigenous setting. The expressions and attention of the group appear engaged indicating they might be listening to someone speaking or watching an event.,Neutral,Neutral
H061,37.294,58.173,This image features a group of children standing together. Some of the children are looking directly at the camera and there is a hand visible near the bottom of the frame gesturing towards one of the children. The background suggests they are outdoors possibly against a wall made of natural materials. The children appear to be in simple or traditional attire. The photograph captures a moment of their life and environment.,Negative,Stimulated
H062,14.063,66.984,The image shows two individuals in a hospital setting. On the left an older woman is seated and looking at the camera dressed in traditional white attire with a headscarf. On the right a younger person is lying on a hospital bed apparently asleep or resting with an IV line in their arm and covered with a patterned blanket. The room has blue-green walls and electrical outlets suggesting a simple medical facility environment. This scene likely captures a moment of care or vigilance where the older woman is overseeing the younger person's recovery or treatment.,Negative,Stimulated
H063,5.666,81.855,The image seems to depict a demonstration or public performance involving two people. The person on the left is holding onto a horizontal bar and has distinct markings or paint on her face possibly symbolizing injury or distress. The person on the right appears to be tied with ropes possibly as part of the performance suggesting that they are portraying victims or making a statement through symbolic action.,Negative,Stimulated
H064,8.839,80.739,The image shows a performance where an individual appears to be undergoing a dramatic makeup application or possibly a simulation of a medical procedure for an event. The person is seated and seems to be in a Calm or unconscious state with eyes closed and their head slightly leaned forward. The face has markings and what appears like bruising or special effects makeup with fake blood around the areas. Another individual wearing a black attire is holding what seems to be a tube near the person's nose possibly simulating a surgical or medical process. This type of setting is common in simulation trainings or in theatrical performances that involve special effects makeup to create realistic injury appearances.,Negative,Stimulated
H065,16.598,68.414,This image shows a person pretending to be chained to a wooden post in a cave-like setting. The person is crouching slightly and holding onto the post with one hand and the post has large metal bands around it. The background has rocky surfaces enhancing the cave-like appearance of the scene. The person seems to be playacting an escape or struggle adding a humorous aspect to the photo.,Negative,Stimulated
H066,4.016,80.577,The image shows a person sitting inside what appears to be a shelter or structure made from natural materials possibly bamboo. The person is sitting on a hammock and is holding their right knee with both hands. They are wearing a light blue shirt and patterned sarong. Their facial features are obscured with a black bar for privacy. The environment suggests a tropical or rural setting and the attire and hammock indicate a Calm possibly domestic context.,Negative,Stimulated
H074,2.022,87.282,This image appears to show a person lying in a large hole or pit with a dark interior. The individual is wearing a dark jacket and appears to be in a somewhat distressed or uncomfortable position. The ground around the hole is scattered with debris and soil suggesting a rugged outdoor environment. The overall scene might be from a situation involving an accident or some dramatic event yet the specifics are not clear from the image alone.,Negative,Stimulated
H076,21.249,64.605,The image depicts three individuals possibly from South Asia engaged in manual labor outdoors. They appear to be digging or tilling soil. On the left a woman is involved in handling a shovel while on the right a man is assisting an older man in the center who is either teaching demonstrating or performing a task with the shovel. The background shows a flat grassy field with some tree line visible under an overcast sky. The scene suggests agricultural activity or some form of communal labor in a rural setting.,Negative,Stimulated
H077,0.779,91.29,This image shows two individuals lying on a hospital bed appearing to receive medical assistance or examination from two other individuals standing by the side of the bed. The individuals on the bed have visible skin conditions; one of them has very dark rough and possibly hyperpigmented skin across visibly malnourished body parts. There are towels or blankets around them possibly for warmth or comfort. The setting suggests a medical or care-giving environment likely focused on managing severe dermatological or nutritional conditions.,Negative,Stimulated
H078,7.931,74.38,The image shows a young child sitting on a hospital bed. The child is wearing a blue top and is covered partially with a blue blanket. The setting appears to be a medical facility indicated by the metal bed and the simple sterile surroundings. The child looks contemplative or perhaps unwell.,Negative,Stimulated
H079,3.442,71.13,This image displays a group of people wearing white pointed hoods and holding red candles. There is also a prominent cross in the scene. The attire and overall composition might be suggestive of a specific theme or event related to a particular group or historical reference. It is important to approach and interpret such images carefully considering their potential cultural and historical implications.,Negative,Stimulated
H080,18.9,70.282,The image shows a group of people possibly at a public gathering or event. The individuals in the foreground are dressed in vibrant traditional clothing that features bold colors and patterns. These garments and headwear may suggest cultural or regional attire possibly indigenous. There's also a visible presence of security or military personnel as indicated by a person in a uniform labeled POLICIA (police) on the right side of the image. This setting could imply a significant cultural or public event possibly in a Central or South American context where such attire and police presence are observed.,Negative,Stimulated
H081,10.475,77.612,The image shows a collection of human skulls neatly arranged and stored. These skulls may be part of a historical or anthropological exhibit or possibly a remembrance site related to a past conflict or genocide. The presence of these skulls in such a large number often indicates they are kept for reasons of study memorialization or as a grim reminder of past events. One skull particularly stands out as it retains some remnants of hair suggesting preservation aspects or more recent origin compared to others.,Negative,Stimulated
H082,17.722,65.068,The image shows a young child standing in a devastated landscape where a fire appears to have swept through. The area around the child shows charred and burned terrain with blackened tree trunks suggesting a recent wildfire or burn. Behind the child there is a structure that seems to be made from mud bricks which might be a type of traditional building. The presence of the child adds a poignant human element highlighting the impact of environmental destruction on local communities.,Negative,Stimulated
H083,24.468,68.306,The image shows a caregiver feeding a young child. The child who has some food residue around her mouth is holding a blue cup and looks to be wearing a patterned outfit. The caregiver dressed in a blue top is attentively spoon-feeding her. They appear to be in a room with wooden beams possibly indicating a simple or makeshift dwelling. The scene conveys care and attention being given to the child's needs.,Negative,Stimulated
H084,18.429,82.425,This image shows a touching moment between two individuals likely a parent and child. The child who appears undernourished is drinking from a red cup held by an adult. The environment suggests a humble setting emphasizing the simplicity and possibly challenging conditions of their surroundings. The image captures a poignant intimate interaction highlighting themes of care and vulnerability.,Negative,Stimulated
H085,49.555,41.463,The image shows a group of people walking along a dirt road amidst a natural setting likely in a rural area. The individuals who appear to be women and children are carrying large bundles and bags on their heads and in their hands suggesting they might be travelling or relocating with their belongings. The scenery includes trees and grass indicating a somewhat dry or savannah-like environment. This portrays a moment of effort and journey typical in many rural regions around the world where walking long distances is a common part of daily life and tasks.,Neutral,Neutral
H086,48.24,38.878,The image depicts a group of people likely a family or a group of travelers walking along a dirt road in a rural area. A man in the foreground is carrying a young child on his shoulders. Another child and two adults carrying large loads on their heads are walking behind him. The setting seems to be a dry landscape with sparse vegetation possibly in a rural part of an African country suggested by the attire and the context of the image. The scene captures an aspect of rural life or migration with individuals transporting belongings potentially suggesting a journey migration or daily routine in a remote area.,Neutral,Neutral
H087,10.788,75.598,The image shows a baby partially wrapped in a colorful cloth presumably carried by an adult. The baby has dark skin curly hair and is opening one eye slightly. The backdrop appears to be outdoors highlighted by natural sunlight. The visible part of the cloth has a blue base with a pattern featuring greenish and bluish details.,Negative,Stimulated
H088,15.04,65.625,The image depicts four men walking together three of whom are using crutches. The setting appears to be outdoor possibly a rural area or in a village given the unpaved ground and informal attire of the individuals. There are also people visible in the background suggesting a community or public gathering area. The men are dressed in casual clothes indicating it might be a regular day or a casual event.,Negative,Stimulated
H089,50.608,46.491,This image shows two women and a child at a water well in a rural setting. One woman wearing a colorful wrap and a headscarf is holding an infant. The other woman in a tank top and skirt is operating a hand pump to draw water. The ground is dusty and there are multiple buckets around the well indicating that this is a community water source. In the background there appear to be simple structures possibly homes hinting that this could be a village or a small community settlement. The presence of a hand pump suggests that access to running water might be limited making such community wells a vital resource for the inhabitants.,Neutral,Stimulated
H090,61.405,38.94,The image shows a young child standing in front of a worn earthy-toned wall possibly made of clay or mud bricks. The child is wearing a blue dress and sandals smiling broadly and giving a thumbs up sign with the right hand. The setting appears to be outdoors and it appears to be either dawn or dusk judging by the warm lighting. The child's cheerful expression and gesture add a positive vibe to the scene.,Neutral,Neutral
H091,16.351,50.135,The image shows a young girl who appears to be in a state of distress or poverty. She is eating or chewing something squatting on the ground and her clothes look dirty and worn. There's a blurred figure next to her which might indicate she's not alone. The setting seems possibly urban based on the background. The overall mood or tone of the picture seems to evoke empathy and highlights issues like child poverty and neglect.,Negative,Stimulated
H092,15.491,65.453,This image shows a silhouette of a person walking through a landfill or dumpsite. The person appears to be carrying a bag or a container. Surrounding the individual are various birds including what looks like storks in different stages of motion; some are standing while others are in flight. The environment is overcast highlighting the silhouettes against a muted sky which adds a somewhat somber tone to the scene.,Negative,Stimulated
H093,17.284,68.604,The image depicts a young child engaged in pouring soil from a pot into a bucket. The setting appears to be outdoors with a background that includes a makeshift structure covered with black tarps. The environment suggests a simple or improvised living area possibly in a rural or underdeveloped location. There are wooden beams and other materials that hint at ongoing construction or maintenance. The scene invokes a rural possibly agricultural community setting.,Negative,Stimulated
H094,51.261,47.006,The image appears to show a humanitarian aid distribution scene likely in a rural setting. There are several individuals mostly women dressed in colorful traditional attire. They are either standing or crouching near large piles of grain which is being bagged and possibly distributed to them. Bags with labels possibly indicating food aid from the United States (as seen with the USA label) are visible in the scene.,Neutral,Stimulated
H095,15.468,42.883,The image shows a person revealing a scar or injury on their upper arm possibly for examination or to show it to someone else. The photograph includes another person in the background wearing traditional attire and there is a sandy ground suggesting an outdoor setting. The precise context or reason for displaying the injury is not clear from the image alone.,Negative,Neutral
H097,25.612,57.728,This image shows a group of people primarily children in a rural grassy environment. Some of the children are wearing hats and one older individual appears to be wearing a headscarf. A person in a military-style uniform stands to the right suggesting a context of military presence or influence. The setting seems somewhat dry or arid with sparse trees in the background and an overall rustic ambiance. This image might depict a moment of interaction or observation between the group and the individual in the uniform. The vintage quality of the image suggests that it might be historical.,Negative,Stimulated
H098,24.505,53.024,In this image there is a man lying on a low wall or step beside a building. He is resting his head on what appears to be a bag or similar item. Next to him is a dog also lying down and facing the opposite direction. Both seem to be resting or sleeping. The building behind them has a pale yellow wall and a blue door frame and the path appears to be paved with cobblestones. The image appears somewhat dark suggesting it might be taken during evening or in a shadowed area.,Negative,Stimulated
H099,10.942,68.792,This image shows an individual lying on the sidewalk using a cardboard piece as a pillow. The person is wearing a green jacket blue jeans and brown shoes. There is also scattered paper beside them. The setting suggests an urban environment with a concrete pavement and a gray wall in the background. This scene could be highlighting issues such as homelessness.,Negative,Stimulated
H100,5.095,60.461,This image shows a person sleeping on the street wrapped in a jacket and covered with a plastic sheet for protection likely from the elements. They seem to be in a vulnerable state possibly homeless. The person is holding a small paper or cloth in one hand. The setting appears to be an urban environment given the concrete pavement and curb that are visible.,Negative,Stimulated
H101,22.891,55.387,In the image there are two people sleeping on the ground under blankets next to a tricycle rickshaw decorated with vibrant colorful designs and partly covered by a tarp. The surroundings look like a cluttered outdoor or semi-outdoor area with various objects like pots and utensils. The setting suggests a nighttime environment in a dense possibly urban area. The scene captures a moment of rest amid modest and crowded living conditions.,Negative,Stimulated
H102,24.7,52.723,The image depicts a flooded area with muddy waters covering much of the ground. There are two people possibly conversing standing amid the water and debris. Visible structures include damaged buildings and partially submerged objects such as barrels and bits of wood. On the left there is another individual seen from behind. The background includes a vehicle partially flooded and stationary in the water and the overall scene suggests a location that has suffered extensive flooding impacting the buildings and local environment. The atmosphere appears somber due to the overcast sky and flood damage evident.,Negative,Stimulated
H103,54.35,32.31,The image features a young child standing on a dilapidated concrete staircase with no adjoining structure. The stairs showing signs of wear and rust are in a small grassy area surrounded by dried weeds. In the background there are mountains and a partly sunny sky which suggest a somewhat remote possibly rural setting. A house and some greenery can also be seen in the distance. The child is dressed casually in a T-shirt and shorts focusing on something in their hand.,Neutral,Neutral
H104,13.382,73.529,The image shows a man standing in front of a background that appears to be a disaster site. There is significant debris and rubble around including broken bricks timber metal sheets and what seems to be the remnants of destroyed buildings. Palm trees are visible in the background suggesting a tropical or subtropical location. The man has a concerned expression possibly indicating his relationship to or concerns about the destruction visible behind him. The chaotic scene suggests the aftermath of a natural disaster or other destructive event.,Negative,Stimulated
H105,5.232,76.05,The image shows a person sleeping or resting on the ground in a public area. Behind the person there is a low wall with white tiles and to the right there is a planter with bright orange flowers. The setting appears to be outdoors possibly in an urban environment. The individual has long dark hair and is dressed in dark clothing. There are also a plastic bag and some paper beside the person indicating they might be homeless or in a transitory situation.,Negative,Stimulated
H106,35.158,39.157,The image shows two people conversing in what appears to be a makeshift or informal outdoor setting. They stand near a structure that looks temporary or improvised with walls made of white tarps that are patched and held together with tape. Behind them are some plants and a bicycle leaning against the structure. A dog is also seen in the scene appearing to interact with or move past the people. The environment suggests a casual perhaps low-resource or improvised living area.,Negative,Neutral
H107,20.4,45.939,This image depicts an elderly man sitting on the ground in what appears to be a public space possibly an urban area. He is surrounded by various bags and personal belongings suggesting he might be homeless or in a transient situation. The man is dressed in a dark blue jacket and grey trousers wearing a cap and looking down possibly engaged in some activity with his hands. There's a metal rail structure in the foreground partially framing the scene. The walls and ground are visibly worn and dirty adding to the somber setting.,Negative,Stimulated
H108,35.272,57.281,This image shows a tender moment with two young children and an adult likely a woman embracing outdoors. They are seated on the ground surrounded by various toys including a large teddy bear and other plush animals. There are also some toy trucks and other small items scattered around them. The setting looks like a yard or similar outdoor environment with a casual playful atmosphere.,Negative,Stimulated
H109,51.065,52.625,This image shows a group of people including women and children in an outdoor setting around a large frying pan with food. One woman seems to be cooking or frying something possibly bread or another type of local cuisine and another woman is assisting her. The children are observing the activity looking interested in the cooking process. There is a sense of community engagement with everyone gathered closely around the cooking area. The environment appears rustic or traditional suggesting a communal or cultural meal preparation setting.,Neutral,Stimulated
H110,42.523,45.154,The image features three young children. The child in the foreground appears to be looking directly at the camera with a somewhat somber expression. His face is marked by tears and dirt. Behind him two other children can be partially seen with one looking at the camera as well. The environment suggests they might be outdoors in a natural setting.,Neutral,Stimulated
H112,17.421,79.824,The image shows a woman sitting on the floor of what looks like a wooden house holding up a crying baby. The woman is dressed in a multi-colored jacket and a blue blouse with patterned fabric on her lap. The baby appears to be in distress or discomfort. The background suggests a simple rustic home environment.,Negative,Stimulated
H122,3.675,83.936,The image features a young boy holding a syringe in his mouth standing in a desolate environment that appears to be a garbage dump or landfill. He is wearing a worn-out garment that is draped over his shoulders. The background suggests an impoverished setting emphasizing difficult living conditions. The presence of the syringe is concerning as it suggests issues of health safety and possibly substance exposure.,Negative,Stimulated
H123,9.926,77.079,The image shows a room with light blue walls and a white floor. In the center there is a metal table with straps which appears to be a restraint table typically used in settings like prisons or execution facilities. The room also has a window with bars enhancing the institutional or secure facility atmosphere of the setting.,Negative,Stimulated
H124,9.987,70.588,The image shows a person being frisked by two security officers or police officers inside a room. The person being searched is holding their hands up against a floral-patterned wall facing away from the camera while the officers wearing dark blue uniforms and caps are conducting the search. One officer to the right seems to be holding a walkie-talkie scanning or observing the scene.,Negative,Stimulated
H125,34.254,61.699,The image shows three individuals in an indoor setting. Two of them wearing blue jackets are holding and supporting a third person who is hanging upside down apparently in a playful or acrobatic moment. The person hanging upside down is wearing a white shirt. They all appear engaged in a casual possibly playful activity although the context or purpose isn’t clear from the image alone.,Negative,Stimulated
H126,21.032,56.735,This image shows an individual with their back to the camera wearing a black t-shirt and with their hands handcuffed behind their back. The background is plain and white emphasizing the subject in the foreground.,Negative,Stimulated
N001,57.245,17.909,The image shows a small kitchen with basic features. There is a set of white wooden cabinets with a beige countertop. On the countertop there’s a kettle a microwave and an assortment of items like a jar and a rack holding kitchen knives. There is also a stove with two burners visible and an oven underneath. A dishwasher is seen below the countertop to the left. The wall above the stove has brown tiles. On the right there is a small white refrigerator partially visible. The overall appearance is compact and utilitarian typical of a small apartment or home kitchen.,Neutral,Calm
N002,55.043,41.503,This image shows a large wooden bookshelf filled with various books. It occupies most of the image with books neatly arranged some bounded in leather and others with hardcover bindings. A wooden ladder leans against the bookshelf suggesting it's used to reach higher shelves. On the left side of the image there is a coat rack with a white shirt and a dark robe or coat hanging from it indicating a place of study or perhaps a religious setting given the robe. On the wall behind there are a couple of framed photographs or prints.,Neutral,Neutral
N003,54.109,30.974,The object in the image is an antique syringe made primarily of wood and glass. These were commonly used in medical applications before the advent of modern disposable syringes. The glass cylinder allows visibility of the contents and the wood parts form the body and the plunger handle. Such syringes were typical before plastic became the standard material for medical tools.,Neutral,Neutral
N004,40.953,40.422,The image shows an office room with an L-shaped desk that includes a round extension. There is one black office chair at the desk. The desk has a light-colored top possibly laminate and has panels with a cork or speckled beige design. The room has a tile floor and white walls.,Neutral,Neutral
N006,53.835,37.388,The image shows a metal object which appears to be a door or machinery handle mounted on a square flange or base plate. The handle part is cylindrical and protruding suitable for grip. It looks like it could be part of a larger mechanical system possibly used to operate or adjust machinery. The background is a somewhat dirty or stained light-colored surface likely a workshop or industrial environment.,Neutral,Neutral
N008,59.745,22.977,The image shows a part of a copy machine with various slots and instructions. There is a coin slot with a sign that says Copies 15¢ Coin ONLY indicating that it requires coins to operate. Below this is another sign with an arrow pointing to it reads COIN. There are also compartments labeled for inserting bills (INSERT BILL FACE UP) and receiving change or documents. The machine appears to be in an office or public space where copying services are provided for a fee.,Neutral,Calm
N009,62.174,15.005,The image shows a simple wooden table placed outdoors. The table has a rectangular top and four legs standing on what appears to be a paved surface next to dried grass. The wood of the table looks smooth and has a light natural color. The background includes a part of a building and some greenery.,Neutral,Calm
N010,60.196,12.907,The image shows a close-up view of a wheel mounted on an axle. The wheel itself is white with a yellow hub and it is connected to a red axle. A bolt secures the wheel to the axle ensuring it stays in place. The background appears to be a textured blue surface which might be a table or a similar flat area. This setup is typical for various types of small vehicles or carts enabling smooth movement across a surface.,Neutral,Calm
N011,49.069,29.336,The image shows an interior space with a set of sliding doors. These doors appear to be closed and might be used for a closet or a room divider. The walls are painted white adding a clean and minimalistic look to the room. There is also a part of a window visible on the right side with white blinds partially down and a ceiling light can be seen in the top left corner. Additionally there are red electrical outlets or switches visible on the lower part of the wall on the left side.,Neutral,Neutral
N013,61.967,10.196,This image shows a close-up view of a bicycle wheel. Specifically it focuses on the hub which is the central part of the wheel where the axle is located and the spokes which extend from the hub to the rim of the wheel helping to distribute weight and maintain the wheel's shape under stress. The hub appears to be made of metal likely aluminum or steel and is equipped with components for mounting on a bike frame and attaching the wheel to it. The wheel also has a rim that is partially visible and you can see the start of the tire on the edge.,Neutral,Calm
N014,59.275,14.34,This image shows a small used terracotta pot. The pot is cylindrical slightly tapered at the bottom and has a rough texture with some visible dirt indicating it may have been previously used for planting. The background appears to be a light-colored somewhat reflective surface possibly outdoors due to the shadows and natural light.,Neutral,Calm
N015,54.05,29.756,The image shows a small kitchenette inside a room. The kitchenette is fitted with light wood cabinets a stainless steel sink and a tap. Above the sink there are a few cabinets for storage presumably for kitchen utensils or supplies. To the left there appears to be the edge of a white refrigerator. The flooring of the room outside the kitchenette is carpeted in a light color and you can see part of another room or hallway through the doorway where there is a tiled floor. This setup might be part of a small apartment studio or an efficiency unit.,Neutral,Neutral
N016,60.28,26.152,This image shows a mirror part of which seems to have been drawn on with a marker or some other scribbling implement. The view through the mirror includes a blurred reflection of a room and the boundary of the mirror is framed in a wooden edge. There are several button-like decorations or small round disks attached vertically along the wooden frame of the mirror. The ambiance suggests a warm sunlit space possibly a children's room or a play area based on the playful care-free nature of the scribbles on the mirror.,Neutral,Neutral
N017,68.63,14.291,The image shows a classic style bicycle leaning against a light grey concrete wall. The bicycle has a burgundy frame and is equipped with front and rear fenders a rear rack chain guard and a kickstand. There is a vine or plant growing beside it on the wall. The setting appears to be outdoors possibly on a paved area near a building.,Neutral,Calm
N018,59.426,20.317,The image shows a set of four antique chairs arranged in a row. Each chair features high backs and is upholstered in what appears to be a red fabric with green and gold vertical stripes. The chairs have ornate wooden frames likely made from a dark stained wood with turned legs and connecting stretchers which reflect a traditional style possibly Victorian or a similar period design. These could be dining chairs or perhaps part of a more formal seating arrangement.,Neutral,Calm
N019,61.12,27.267,This image shows a compact kitchenette setup. It features a stainless steel sink with a faucet a small countertop area and a two-burner electric stove built into a single continuous metal unit. Below the countertop there is a refrigerator with its door slightly open. The kitchenette is contained within a wooden cabinet structure which includes a closed cabinet door seen on the bottom left. The overall appearance suggests this kitchenette could be part of a small apartment or a similar space-efficient setting.,Neutral,Neutral
N020,51.299,26.213,The image shows a triangular warning road sign mounted on a post located next to an old stone bridge in a lush green environment. The sign features a symbol of an inverted triangle (indicating caution) and a large black circle (likely representing an obstacle or roundabout ahead). Above these symbols the numbers 13-9 appear which might denote a height restriction (likely in feet and inches) applicable to the bridge. Below the main road sign there's a smaller yellow sign with some text on it which appears to be in Welsh and is likely giving additional information or instructions related to traffic management. Surrounding the signs there's abundant foliage and trees implying the location is in a rural or semi-rural area.,Neutral,Neutral
N021,57.788,29.029,This image shows an interior space undergoing renovation. The floor is covered with debris and plastic suggesting protective measures against damage or stains during the work. There are pieces of furniture and fixtures wrapped in protective plastic indicating ongoing construction or remodeling activities. The room features several bare walls and a couple of built-in light fixtures on the ceiling alongside visible plumbing infrastructure on the ceiling and walls. The environment suggests that this is likely a commercial space possibly an office or retail location being prepared for use or updated.,Neutral,Neutral
N022,57.851,22.96,This image shows a construction scene focusing on the framework of a roof. In the foreground there's a sloping section covered with wooden lattice frames typically used as a base for installing roofing materials. These wooden sections appear to be in the process of being prepared or constructed. Also noticeable is a large brown steel beam part of the structural support for the roof. The beam has a triangular shape contributing to the sturdiness and architectural design of the building. The environment suggests that this is part of a larger structure under construction or renovation.,Neutral,Calm
N023,68.85,29.736,The image shows various pottery and ceramics tools and implements typically found in a pottery studio. On the left there is a metal bowl on the table. In front of it there's a large terracotta pot containing foam sponges and other tools possibly for applying glazes or paints. There is also a small collection of tools and brushes held together by a rubber band lying next to the pot. On the table to the right there is a container that holds more tools likely used for shaping and carving clay. Nearby there is a piece of sponge and what looks like a plastic-covered lump of clay. On the back shelf there are numerous ceramic forms that appear to be in the process of being crafted or are drying. These are cone-shaped and uniformly spaced across the shelf. This setup suggests that the items are in various stages of the pottery-making process from molding and shaping to drying.,Neutral,Neutral
N024,56.168,16.541,The image shows a simple setup of a furniture arrangement comprising a large desk and two chairs. The desk has a wooden top with rounded corners and is supported by a metal frame which is visible around the bottom and sides. The two chairs also with metal legs and wooden seating surfaces appear to match the style of the desk suggesting they might be part of a set. The floor is carpeted and there is a plain wall in the background. This setup is commonly used in educational or office environments.,Neutral,Calm
N025,51.873,23.84,The image shows various objects on a desk primarily involving what appears to be disassembled electronic devices. On the right there is an opened casing of a device with its internal electronic components exposed. This could be something like a small appliance or gadget. Next to it there is a black case that may contain tools or other electronic components. On the left there is a large round blue case possibly a container for storing items or equipment. There are also some batteries screws a small board possibly from inside the device and a couple of other small items scattered on the desk. The background shows a portion of a keyboard and some personal care items like a tube likely of cream or similar. Overall the setup suggests someone might be in the middle of repairing or tinkering with electronic gadgets.,Neutral,Neutral
N026,43.063,20.506,In the image you see a close-up view of a pole or column that is mounted onto a base which appears to be secured on a raised surface that might be part of a compartment or holder. The surroundings suggest it could be in a vehicle or a cabin. The pole is encased in a protective sleeve at the base and the structure is attached to a wall panel with a wood-like finish which appears slightly worn. The base itself shows some screws and slight rust or debris indicating aging or exposure to elements.,Neutral,Calm
