Image-Name,Zero-Shot-Average-Valence-For-Image,Zero-Shot-Average-Arousal-For-Image,Zero-Shot-Average-Valence-For-Text,Zero-Shot-Average-Arousal-For-Text,Few-Shot-Average-Valence-For-Image,Few-Shot-Average-Arousal-For-Image,Few-Shot-Average-Valence-For-Text,Few-Shot-Average-Arousal-For-Text
Sn026,42,61,63,41,46.329,44.449,44.624,57.473
Sn027,30.5,68.5,39,60,33.15,60.084,41.63,58.284
Sn028,40,62,39,60,40.208,61.632,43.9,50.854
Sn029,33,66.5,35,62,42.312,58.454,40.232,59.527
Sn030,39,60,41,51,45.1,55,51.44,43.503
Sn031,39,61,61,40,39.051,61.157,49.935,39.072
Sn032,39.3,63,37,61,34.2,59.69,29.921,56.471
Sn033,32.5,60,42,36,38,60,46.612,43.688
Sn034,34,62,33,60,38.092,63.274,40.506,59.414
Sn035,33,63.5,32,70,37.5,66.21,36.532,63.906
Sn036,30.5,64,29,70,38.5,63.94,36.082,61.276
Sn037,37,63.5,33,60,36.163,61.17,28.321,50.347
Sn038,31,62.5,32,65,40.817,62.036,35.41,65.852
Sn039,37,61,39,56,40.5,63.74,41.437,51.003
Sn040,38,64,64,40,41.454,59.274,58.85,34.841
Sn041,35.8,62,36,61,32.6,60.18,42.678,59.68
Sn042,34.5,62,33,62,37.277,61.377,35.079,61.9
Sn043,30.5,63,35,62,34.455,65.367,41.482,56.893
Sn044,33.5,61.5,35,60,34.422,66.108,36.632,63.028
Sn045,32,61.5,29,69,35.726,60.091,35.389,60.05
Sn046,40,61.5,40,56,41.961,58.968,38.978,47.987
Sn047,25.333,76.056,28,82,35.204,68.52,30.06,80.74
Sn048,25.5,70,33,61,32.287,66.67,39.054,61.716
Sn049,40.5,61.5,42,37,46.7,62,44.699,43.313
Sn050,29.5,65,32,62,32.465,62.983,21.945,60.281
Sn051,38,61.5,42,52,43.891,57.414,46.516,46.688
Sn052,36.5,65,33,62,38.444,68.678,41.765,56.509
Sn053,40.5,60,35,60,45.4,59,42.408,48.82
Sn054,35.5,60.5,30,67,37.229,49.993,21.84,63.226
Sn055,30.5,64.5,43,51,28.189,65.531,46.898,57.992
Sn056,39.5,60.5,39,60,43.2,60.1,41.233,58.203
Sn057,40.5,63,64,40,48.93,56.493,67.73,33.861
Sn058,29,68,24,63,26.509,62.482,22.446,65.544
Sn059,15.7,75,29,71,19.121,69.259,36.04,63.384
Sn060,36.5,62,34,61,34.216,60.144,39.2,50.399
Sn061,58,39,62,40,64.717,28.96,40.088,55.736
Sn062,40,60.5,40,46,41.74,53.263,41.385,48.231
Sn063,55.5,46,64,40,44.6,52,50.897,40.238
Sn064,42,49.5,40,50,46.453,37.346,45.924,47.351
Sn065,33.5,60.5,39,60,36.1,62.14,32.776,56.704
Sn066,52,44,40,60,58.4,41.1,41.385,60.481
Sn067,37.5,60,28,72,42.843,62.679,34.691,70.438
Sn068,39,60,42,60,40.7,60.15,45.936,43.823
Sn069,30.5,67,39,60,38.418,62.276,47.911,40.715
Sn070,32,64,40,60,41.202,59.249,39.69,50.487
Sn071,31.5,66,41,60,39.483,61.227,42.848,59.458
Sn072,42,58.5,44,44,44.857,43.443,44.959,43.168
Sn073,40,62.5,42,60,41.3,60.075,47.533,48.558
Sn074,39.5,60.5,46,61,40,61,40.878,57.355
Sn075,41.5,60.5,41,60,44.685,55.856,52.754,41.435
Sn076,40,60.5,36,60,46.3,45,45.766,59.084
Sn077,53.5,37,63,39,57.92,34.9,66.364,35.912
Sn078,37.8,58.5,41,60,45.6,46,42.727,42.622
Sn079,39.8,61,64,40,42.152,61.298,68.383,47.361
Sn080,38,61.5,40,46,43.525,61.154,45.045,49.947
Sn081,33.5,65.5,35,60,35.236,65.576,37.57,45.726
Sn082,29.5,68.5,40,60,35.328,67.047,43.95,59.618
Sn083,40.5,61,33,63,43.6,66,36.392,65.087
Sn084,38,60.5,40,50,37.102,61.598,38.863,48.333
Sn085,33.5,60.5,40,60,40.165,61.196,47.46,56.414
Sn086,32.5,64,41,52,36.834,58.994,41.011,53.148
Sn087,27.9,62,38,60,30.204,64.196,35.364,59.371
Sn088,36.9,60.5,39,49,35.39,62.792,42.153,52.272
Sn089,37.5,61,42,41,44.9,62.1,43.985,50.301
Sn090,31,63,36,61,40.1,60,33.114,59.743
Sn091,37.9,61,38,60,43.3,60,43.502,50.106
Sn092,39,59.5,54.6,37,40.542,58.294,51.444,33.282
Sn093,43.8,60.5,40,50,43.5,59.55,58.091,41.365
Sn094,35,62,39,61,33.587,62.695,51.629,45.438
Sn095,33.1,68.5,39,67,35.291,63.725,41.938,64.84
Sn096,36,60,40,51,39.002,59.798,46.536,57.246
Sn097,30.5,63,32,60,39.13,61.157,39.802,56.812
Sn098,36.8,60.6,36,59,40.25,58.04,45.693,47.459
Sn099,40,60,39,42,41,56,41.233,48.984
Sn100,45,43,41,59,43.8,57,53.794,46.31
Sn101,29.5,68.5,40,60,40.253,61.055,50.774,39.274
Sn102,33,64,34,60,37.494,60.96,40.528,52.26
Sn103,32.5,68,36,60,37.2,66.046,42.676,61.286
Sn104,32,61.5,31,60,35.1,62.68,24.17,64.441
Sn105,29.5,68.5,32,61,26.347,62.458,39.362,62.788
Sn106,43.5,61.5,41.8,59.5,41.103,59.67,32.455,58.472
Sn107,32.5,64,39,60,35.563,62.362,39.413,48.225
Sn108,33.5,65,39,60,32.802,62.548,56.93,40.685
Sn109,42,60.5,41,33,44.6,60,47.988,49.939
Sn110,31,68,38,61,37,64,47.819,56.266
Sn111,44.3,61.5,39,61,44.7,61.602,48.028,62.404
Sn112,36,64.5,40,60,37.6,61,47.612,38.947
Sn113,43.5,60.5,40,60,45.573,54.551,44.969,56.92
Sn114,31.5,63.5,33,60,39,58,36.144,62.785
Sn115,43,60.5,41,60,42.1,60,44.733,54.921
Sn116,32,63,37,60,30,60,41.913,57.775
Sn117,40.5,60.5,40,60,46.313,54.846,42.08,48.025
Sn118,32.5,66.5,30,60,33.424,60.563,25.466,64.67
Sn119,32.5,65.5,39,61,37.658,63.784,37.654,55.637
Sn120,36.5,61,34,61,41.009,59.822,28.087,63.415
Sn121,33.5,64,41,51,35.125,60,46.944,39.073
Sn122,42.5,62,42,60,47.8,56,41.961,61.917
Sn123,31,65,40,60,39.3,60.09,41.454,60.232
Sn124,36,62.5,37,60,41.04,59.06,42.513,46.896
Sn125,38.5,60,41,42,44.6,63.206,42.491,41.885
Sn126,32,62.5,39,60,35.249,60.59,41.606,59.408
Sn127,38.5,60.5,43,45,38.1,60,50.717,41.3
Sn128,38,63,33,68,41,60,35.782,68.552
Sn129,32.5,62,37,60,35.542,61.158,36.1,50.882
Sn130,44,58,41,60,44.073,59.04,46.422,49.697
Sn131,40.5,60.5,44,41,40.5,61.05,55.228,44.73
Sn132,39.5,62.5,44,40,43.7,63,55.721,39.927
Sn133,40,60,43,48,43.025,51.059,45.169,44.747
Sp001,39.5,60.5,47,60,41.191,60.134,52.392,41.193
Sp002,31.5,63,36,60,29.864,67.463,37.893,49.12
Sp003,31,67.5,30,56,31.999,64.649,38,44.664
Sp004,33.5,63.5,32,60,40.146,65.224,42.107,58.612
Sp005,26.5,68.5,30,60,32.934,65.131,37.408,50.154
Sp006,29,65.5,31,59,26.38,66.407,35.285,58.095
Sp007,27,66,29,60,23.184,64.903,30.553,61.095
Sp008,31.5,63.5,33,60,32.5,62,35.359,51.477
Sp009,30.5,68,29.5,64.5,33.591,60.686,32.96,58.315
Sp010,32.1,65,31,61,33.33,65.237,44.773,60.823
Sp011,28.5,70,34,61.5,25.1,68,31.366,63.909
Sp012,25,69,31.5,66.8,30.359,63.334,38.306,57.083
Sp013,30.5,62,34,60,34.9,63.1,35.093,53.327
Sp014,31.5,60,34,60,33.938,60.08,42.219,59.945
Sp015,37.9,58.8,34,60,43.405,55.244,39.439,57.691
Sp016,31,67,33.5,61,38.1,63.1,38.864,52.966
Sp017,32,63.5,34,60,38.1,60,40.845,51.107
Sp018,31,61.5,35,60,26.285,63.549,35.444,49.954
Sp019,32.3,62.5,37,56,32.739,60.967,44.639,45.553
Sp020,29.5,64,34,60,29.49,64.89,37.453,53.298
Sp021,28.5,66.5,32,61,32.181,63.122,41.268,50.06
Sp022,35,60,37,38,36.153,57.664,41.298,35.034
Sp023,30.5,61.5,30,62,29.2,65.08,37.165,59.5
Sp024,29.5,62.5,39,53,28.347,67.612,45.006,46.49
Sp025,24.8,65,39,60,27.112,58.531,45.242,53.493
Sp026,29.5,65,33,62,36.254,62.826,25.881,59.172
Sp027,36,68,30,64,40.657,60.093,36.991,62.047
Sp028,30.5,67,35,60,34.508,63.815,34.497,56.008
Sp029,30.5,62,35,60,39.687,62.296,43.616,42.65
Sp030,39.5,60.5,40,60,37.862,61.821,37.813,56.557
Sp031,32.5,61,36,50,36.642,60.156,39.891,61.945
Sp032,29,64.5,30,60,27,60,41.71,54.662
Sp033,27,69.5,33.7,61,33.382,65.332,34.231,61.615
Sp034,31,71,40,61,31.7,69.25,35.493,62.221
Sp035,38.5,61.5,41,52,34.201,60.829,40.954,50.482
Sp036,36.5,60.5,37,60,45.1,58,45.866,45.602
Sp037,29,61,40,30,31.697,62.727,43.475,51.082
Sp038,33,60,37,56,38.561,60.134,33.017,58.363
Sp039,22.8,68,22,74,35.25,62.719,24.302,70.683
Sp040,30,66,32,60,30.698,60.647,37.582,47.485
Sp041,33,65.5,37,60,37.234,65.273,43.769,54.464
Sp042,31.5,61,33,60,38.218,60.301,39.632,59.029
Sp043,30,62.5,37,61,30.102,60.05,35.186,57.705
Sp044,36.5,66.5,31,69.5,41.7,64,28.708,64.223
Sp045,60.6,61.3,61,58,60,63,58.353,46.541
Sp046,33.5,61,37,60,39.332,59.561,43.514,53.896
Sp047,34.5,66,32.5,60,34.1,64.04,33.168,59.6
Sp048,38.5,60,39,48,40.106,60.084,38.804,43.913
Sp049,30,63,34.2,60,34.135,60.339,34.471,49.172
Sp050,34.5,60,40,36,42.868,60.043,37.968,48.382
Sp051,23.85,68.23,29,60,29.288,67.171,40.778,52.024
Sp052,37,61.5,39,61,40.164,58.843,49.406,58.442
Sp053,37.5,60,40.6,56,42,60,36.354,62.008
Sp054,30,67,28,60,31.423,66.204,38.749,60.439
Sp055,31,60.5,34,60,34.067,57.483,35.182,59.554
Sp056,31.5,61,34,61.5,36.82,60.22,44.283,49.156
Sp057,30,64.5,37,60,30.752,65.009,45.962,52.859
Sp058,26.5,69,28.45,64.025,36.118,61.263,34.946,61.118
Sp060,30,62.5,29,61,35.581,65.515,35.179,51.8
Sp061,29.5,68.5,29,60,32.772,67.996,38.997,61.497
Sp062,28.5,69.5,32,64.5,35.451,65.488,15.308,70.564
Sp063,29,68,29,62,33.298,64.229,29.662,48.773
Sp064,32,65.5,32.5,65,38.143,62.148,34.899,61.401
Sp065,32.5,65.5,31.25,66.32,35.171,58.265,36.365,57.757
Sp066,32.2,61.6,42,34,32.434,58.255,44.204,34.816
Sp067,30,62,34,60,34.188,60.336,37.485,60.94
Sp068,31.5,56,48,31,39.1,57.24,56.01,36.993
Sp069,27,65.5,33,49,33.551,63.29,37.66,49.5
Sp070,30,63.5,33,41,30.208,63.083,32.929,54.34
Sp071,29.5,62.5,39,36,31.327,60.924,45.4,39.6
Sp072,25.3,66,44,37,29.691,60.85,28.487,54.147
Sp073,35.5,60.5,38,51,34.944,52.261,46.076,52.522
Sp074,30.5,62.5,41,43,35.1,67,46.111,53.933
Sp075,25.5,65,34,61,29.067,65.77,38.101,59.857
Sp076,29,66,35,60,36.043,64.016,25.175,63.685
Sp077,29.8,62,25,60,29.31,61.364,16.625,67.08
Sp078,28,64.5,35,60,33.099,62.783,36.855,61.902
Sp079,31.5,68,41,30,29.369,65.262,36.022,41.295
Sp080,36.5,60.5,33,60,35.34,61.35,32.594,64.14
Sp081,20,65.5,26,61,34.02,60.48,33.422,60.451
Sp082,28,67,40,51,24.201,67.426,42.258,60.223
Sp083,30.5,65,36,57,36.5,60,38.067,50.005
Sp084,30,61.5,34,42,35.912,60.438,38.344,50.583
Sp085,35.5,61,39,40,37.398,57.999,44.507,39.719
Sp086,34,60,40,60,43.1,60.05,46.772,47.005
Sp087,42.8,32,36,52,43.95,31.99,35.957,50.224
Sp088,40.5,58.5,44,48,37.372,57.072,40.311,59.601
Sp089,33.5,62.5,34,61,34.164,61.716,33.888,62.782
Sp090,32.5,61,40,34,36.774,58.25,40.45,41.69
Sp091,32,61.5,46,32,39.526,58.568,39.545,48.667
Sp093,28,62,45.7,33,27.36,61.745,48.317,34.166
Sp094,32.5,60,35,60,34.2,61.2,37.992,43.269
Sp095,31.5,60,34,48,36.2,61,32.397,50.083
Sp096,28.5,67,31,60,36.989,62.593,37.169,59.694
Sp097,28.5,62.5,29,49,30.303,62.893,39.768,53.47
Sp098,35.5,62,33,60,34.34,56.275,15.559,63.915
Sp099,30.5,63,31,60,30.982,60.189,40.501,54.91
Sp100,29.5,66,32,60,31.4,60.394,41.519,57.071
Sp101,34.45,59.1,33,60,39.4,61.24,41.677,58.69
Sp102,31,65,37,50,23.815,66.488,34.34,56.254
Sp103,31.5,61.5,40,60,33.207,63.067,38.387,59.888
Sp104,30.5,60.5,33,60,34.29,62.435,42.318,53.987
Sp105,54,32.5,42,52,54.155,32.728,35.942,49.155
Sp106,33,60.5,34,60,37.859,57.646,44.52,57.59
Sp107,26,67.5,31,61,23.965,62.645,35.246,51.782
Sp108,22,69,27,61,33.716,61.176,33.005,54.017
Sp109,28,63,33,60,29.7,63.08,38.053,60.565
Sp110,33.1,43.6,39,37,36.266,49.834,32.9,57.58
Sp111,30.5,60.5,35,58,34.29,60.022,37.795,52.192
Sp112,26.5,70,33.5,61,17.866,67.576,35.807,61.135
Sp113,31,61,40,57,37.316,64.329,44.58,56.466
Sp114,30.5,60.5,36,60,40.998,59.3,35.945,54.308
Sp115,26.5,65.5,40,60,26.285,65.267,36.872,59.427
Sp116,31,62,36,47,19.502,70.535,40.8,39.844
Sp117,26,68,32,56,33.597,66.878,37.148,46.585
Sp118,29.8,65.5,33,60,30.917,67.096,42.882,55.078
Sp119,26.5,64,35,60,34.338,59.468,47.943,43.43
Sp120,29.5,61.5,40,43,32.36,58.172,38.984,52.788
Sp121,30.5,62.5,34,41,31.12,58.897,44.657,39.635
Sp122,30.25,66.35,36,56,34.612,62.935,38.951,52.48
Sp123,30.5,66,33,62.5,31.469,66.02,33.98,50.295
Sp124,28,64,27,60,25,62,34.298,50.799
Sp125,31.5,62.5,31,60,36.023,59.999,37.515,55.167
Sp126,31.5,67.5,36,61,38.244,62.203,26.334,65.004
Sp127,34,60.5,38,43,44,59,42.624,39.903
Sp128,31.5,65,34,52,41.2,60.05,35.645,54.348
Sp129,27.5,69.5,32,63,29.367,68.665,33.235,64.454
Sp130,31,65,32,60,33.782,66.02,30.984,56.231
Sp131,29.5,59.5,30,62,39,60,38.977,62.763
Sp132,26,73,29,71,25.272,74.393,35.017,71.565
Sp133,29,68.5,34,60,32.512,63.678,21.798,61.427
Sp134,24.5,63.5,30,60,36,59.9,37.359,53.49
Sp135,27.5,68.5,32,61,24.9,64.25,32.933,57.618
Sp136,28,69,31,61,24.089,65.361,38.524,62.852
Sp137,33.5,60.5,34,60,39.1,61.4,45.24,59.593
Sp138,29.5,62.5,38,50,35.909,60.043,35.481,46.5
Sp139,30,61,43,42,40.25,62.725,42.754,48.82
Sp140,29.5,61.5,41,61,35.507,60.53,32.867,62.391
Sp141,33,62,43,58,30.459,58.716,39.211,53.301
Sp142,35.5,60,44,44,39.251,59.882,46.731,38.134
Sp143,30,66.5,33,60,25.763,69.174,26.837,60.584
Sp144,42,60,39,60,40.014,58.104,45.308,60.433
Sp145,29,67,33,61,31.253,70.969,28.514,66.276
Sp146,23.2,68,27,69,30.2,70.13,24.357,62.615
Sp147,27,65,27,69,22.342,64.273,36.133,59.446
Sp148,39.8,62,33,61,41,61,31.964,60.334
Sp149,29.5,67,31,66.5,39.857,61.551,35.559,48.328
Sp150,31,61.5,36,39,33.422,48.716,36.702,49.661
Sp151,33.5,62,39,35,35.402,61.877,38.863,55.062
Sp152,32,66,28,72,36.842,62.236,31.943,61.382
Sp153,30.8,62.5,31.5,61,31.308,61.512,29.54,56.38
Sp154,27,66,31,64,29.8,62.52,38.558,62.053
Sp155,26.5,69,33,59,34.577,62.589,46.126,44.61
Sp156,29.833,62.5,40,56,37.273,62.635,43.936,37.948
Sp157,35,61,36,60,39.7,61.66,44.093,57.268
Sp158,40,60,38,60,39.753,58.837,28.322,58.135
Sp159,28.5,63.5,40,38,33.054,56.252,43.778,42.718
Sp160,31,65,40,60,38.4,64,48.7,38.84
